Symbol,Name,Sector
AIAENG,AIA Engineering Limited,Midcap
AIIL,Authum Investment & Infrastructure Limited,Largecap
AIRAN,Airan Limited,Services Sector
AIROLAM,Airo Lam limited,Midcap
AJANTPHARM,Ajanta Pharma Limited,Midcap
AJAXENGG,Ajax Engineering Limited,Smallcap
AJMERA,Ajmera Realty & Infra India Limited,Private Banks
AJOONI,Ajooni Biotech Limited,Energy
AKASH,Akash Infra-Projects Limited,FMCG
AKG,Akg Exim Limited,Banks
AKI,AKI India Limited,Financial Services
AKSHAR,Akshar Spintex Limited,Healthcare
AKSHARCHEM,AksharChem India Limited,Private Banks
AKSHOPTFBR,Aksh Optifibre Limited,Oil & Gas
AKUMS,Akums Drugs and Pharmaceuticals Limited,Information Technology
AKZOINDIA,Akzo Nobel India Limited,Information Technology
ALANKIT,Alankit Limited,Services Sector
ALBERTDAVD,Albert David Limited,Energy
ALEMBICLTD,Alembic Limited,Realty
ALICON,Alicon Castalloy Limited,Commodities
ALIVUS,Alivus Life Sciences Limited,Banks
ALKALI,Alkali Metals Limited,Infrastructure
ALKEM,Alkem Laboratories Limited,Commodities
ALKYLAMINE,Alkyl Amines Chemicals Limited,Financial Services
ALLCARGO,Allcargo Logistics Limited,Private Banks
ALLDIGI,Alldigi Tech Limited,Midcap
ALMONDZ,Almondz Global Securities Limited,Public Sector Banks
ALOKINDS,Alok Industries Limited,FMCG
ALPA,Alpa Laboratories Limited,Private Banks
ALPHAGEO,Alphageo (India) Limited,Information Technology
AMBER,Amber Enterprises India Limited,Pharmaceuticals
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Banks
AMBIKCO,Ambika Cotton Mills Limited,Information Technology
AMBUJACEM,Ambuja Cements Limited,Healthcare
AMDIND,AMD Industries Limited,Banks
AMJLAND,Amj Land Holdings Limited,Energy
AMNPLST,Amines & Plasticizers Limited,Metals
AMRUTANJAN,Amrutanjan Health Care Limited,Public Sector Banks
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services
ANANTRAJ,Anant Raj Limited,Metals
ANDHRAPAP,ANDHRA PAPER LIMITED,Oil & Gas
ANDHRSUGAR,The Andhra Sugars Limited,Banks
ANGELONE,Angel One Limited,Information Technology
ANIKINDS,Anik Industries Limited,Automobile
ANKITMETAL,Ankit Metal & Power Limited,Information Technology
ANMOL,Anmol India Limited,Energy
ANSALAPI,Ansal Properties & Infrastructure Limited,Largecap
ANTGRAPHIC,Antarctica Limited,Realty
ANUHPHR,Anuh Pharma Limited,Smallcap
ANUP,The Anup Engineering Limited,Information Technology
ANURAS,Anupam Rasayan India Limited,Private Banks
APARINDS,Apar Industries Limited,Oil & Gas
APCL,Anjani Portland Cement Limited,Healthcare
APCOTEXIND,Apcotex Industries Limited,Services Sector
APEX,Apex Frozen Foods Limited,FMCG
APLAPOLLO,APL Apollo Tubes Limited,Metals
APLLTD,Alembic Pharmaceuticals Limited,Infrastructure
APOLLO,Apollo Micro Systems Limited,Smallcap
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Consumer Durables
APOLLOPIPE,Apollo Pipes Limited,Banks
APOLLOTYRE,Apollo Tyres Limited,Banks
APOLSINHOT,Apollo Sindoori Hotels Limited,Services Sector
APTECHT,Aptech Limited,FMCG
APTUS,Aptus Value Housing Finance India Limited,Information Technology
ARCHIDPLY,Archidply Industries Limited,Consumer Durables
ARCHIES,Archies Limited,Infrastructure
ARENTERP,Rajdarshan Industries Limited,Realty
ARIES,Aries Agro Limited,Automobile
ARIHANTCAP,Arihant Capital Markets Limited,Consumer Durables
ARIHANTSUP,Arihant Superstructures Limited,Infrastructure
ARISINFRA,Arisinfra Solutions Limited,Consumer Durables
ARKADE,Arkade Developers Limited,Automobile
ARMANFIN,Arman Financial Services Limited,Consumer Durables
AROGRANITE,Aro Granite Industries Limited,FMCG
ARROWGREEN,Arrow Greentech Limited,Pharmaceuticals
ARSHIYA,Arshiya Limited,Consumer Durables
ARSSINFRA,ARSS Infrastructure Projects Limited,Realty
ARTEMISMED,Artemis Medicare Services Limited,Midcap
ARTNIRMAN,Art Nirman Limited,Pharmaceuticals
ARVEE,Arvee Laboratories (India) Limited,Services Sector
ARVIND,Arvind Limited,Metals
ARVINDFASN,Arvind Fashions Limited,Metals
ARVSMART,Arvind SmartSpaces Limited,FMCG
ASAHIINDIA,Asahi India Glass Limited,Commodities
ASAHISONG,Asahi Songwon Colors Limited,Largecap
ASAL,Automotive Stampings and Assemblies Limited,Commodities
ASALCBR,Associated Alcohols & Breweries Ltd.,Automobile
ASHAPURMIN,Ashapura Minechem Limited,Public Sector Banks
ASHIANA,Ashiana Housing Limited,Consumer Durables
ASHIMASYN,Ashima Limited,Private Banks
ASHOKA,Ashoka Buildcon Limited,Services Sector
ASHOKAMET,Ashoka Metcast Limited,Automobile
ASHOKLEY,Ashok Leyland Limited,Oil & Gas
ASIANENE,Asian Energy Services Limited,Realty
ASIANHOTNR,Asian Hotels (North) Limited,Metals
ASIANPAINT,Asian Paints Limited,Private Banks
ASIANTILES,Asian Granito India Limited,Media & Entertainment
ASKAUTOLTD,ASK Automotive Limited,Banks
ASMS,Bartronics India Limited,Financial Services
ASPINWALL,Aspinwall and Company Limited,Automobile
ASTEC,Astec LifeSciences Limited,Pharmaceuticals
ASTERDM,Aster DM Healthcare Limited,Banks
ASTRAL,Astral Limited,Pharmaceuticals
ASTRAMICRO,Astra Microwave Products Limited,Oil & Gas
ASTRAZEN,AstraZeneca Pharma India Limited,Consumer Durables
ASTRON,Astron Paper & Board Mill Limited,Financial Services
ATALREAL,Atal Realtech Limited,Pharmaceuticals
ATAM,Atam Valves Limited,Pharmaceuticals
ATGL,Adani Total Gas Limited,Consumer Durables
ATHERENERG,Ather Energy Limited,Smallcap
ATL,Allcargo Terminals Limited,Commodities
ATLANTAA,ATLANTAA LIMITED,Oil & Gas
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Realty
ATUL,Atul Limited,Automobile
ATULAUTO,Atul Auto Limited,Financial Services
AUBANK,AU Small Finance Bank Limited,Public Sector Banks
AURIONPRO,Aurionpro Solutions Limited,Consumer Durables
AUROPHARMA,Aurobindo Pharma Limited,Public Sector Banks
AURUM,Aurum PropTech Limited,Energy
AUSOMENT,Ausom Enterprise Limited,Automobile
AUTOAXLES,Automotive Axles Limited,Public Sector Banks
AUTOIND,Autoline Industries Limited,Media & Entertainment
AVADHSUGAR,Avadh Sugar & Energy Limited,Financial Services
AVALON,Avalon Technologies Limited,Smallcap
AVANTEL,Avantel Limited,FMCG
AVANTIFEED,Avanti Feeds Limited,Public Sector Banks
AVG,AVG Logistics Limited,Services Sector
AVL,Aditya Vision Limited,Energy
AVONMORE,Avonmore Capital & Management Services Limited,Smallcap
AVROIND,AVRO INDIA LIMITED,Commodities
AVTNPL,AVT Natural Products Limited,Realty
AWFIS,Awfis Space Solutions Limited,Services Sector
AWHCL,Antony Waste Handling Cell Limited,Pharmaceuticals
AWL,AWL Agri Business Limited,Metals
AXISBANK,Axis Bank Limited,Information Technology
AXISCADES,AXISCADES Technologies Limited,Energy
AXITA,Axita Cotton Limited,Oil & Gas
AYMSYNTEX,AYM Syntex Limited,Healthcare
AZAD,Azad Engineering Limited,Smallcap
BAFNAPH,Bafna Pharmaceuticals Limited,Realty
BAGFILMS,B.A.G Films and Media Limited,Services Sector
BAIDFIN,Baid Finserv Limited,Healthcare
BAJAJCON,Bajaj Consumer Care Limited,Information Technology
BAJAJELEC,Bajaj Electricals Limited,FMCG
BAJAJFINSV,Bajaj Finserv Limited,Midcap
BAJAJHCARE,Bajaj Healthcare Limited,Oil & Gas
BAJAJHFL,Bajaj Housing Finance Limited,Consumer Durables
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Automobile
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Banks
BAJAJINDEF,Indef Manufacturing Limited,Realty
BAJEL,Bajel Projects Limited,Metals
BAJFINANCE,Bajaj Finance Limited,Midcap
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Public Sector Banks
BALAJITELE,Balaji Telefilms Limited,Consumer Durables
BALAMINES,Balaji Amines Limited,Commodities
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Oil & Gas
BALKRISHNA,Balkrishna Paper Mills Limited,Automobile
BALKRISIND,Balkrishna Industries Limited,Realty
BALMLAWRIE,Balmer Lawrie & Company Limited,Infrastructure
BALPHARMA,Bal Pharma Limited,Midcap
BALRAMCHIN,Balrampur Chini Mills Limited,Services Sector
BALUFORGE,Balu Forge Industries Limited,Media & Entertainment
BANARBEADS,Banaras Beads Limited,Smallcap
BANARISUG,Bannari Amman Sugars Limited,Commodities
BANCOINDIA,Banco Products (I) Limited,Smallcap
BANDHANBNK,Bandhan Bank Limited,Commodities
BANG,Bang Overseas Limited,Automobile
BANKA,Banka BioLoo Limited,Financial Services
BANKBARODA,Bank of Baroda,Midcap
BANKINDIA,Bank of India,Commodities
BANSALWIRE,Bansal Wire Industries Limited,Automobile
BANSWRAS,Banswara Syntex Limited,Public Sector Banks
BARBEQUE,Barbeque Nation Hospitality Limited,Midcap
BASF,BASF India Limited,Services Sector
BASML,Bannari Amman Spinning Mills Limited,Pharmaceuticals
BATAINDIA,Bata India Limited,Consumer Durables
BAYERCROP,Bayer Cropscience Limited,Commodities
BBL,Bharat Bijlee Limited,Commodities
BBOX,Black Box Limited,Banks
BBTC,Bombay Burmah Trading Corporation Limited,Infrastructure
BBTCL,B&B Triplewall Containers Limited,Healthcare
BCLIND,Bcl Industries Limited,Consumer Durables
BCONCEPTS,Brand Concepts Limited,Healthcare
BDL,Bharat Dynamics Limited,Pharmaceuticals
BEARDSELL,Beardsell Limited,Information Technology
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Commodities
BEDMUTHA,Bedmutha Industries Limited,Midcap
BEL,Bharat Electronics Limited,Realty
BELRISE,Belrise Industries Limited,Services Sector
BEML,BEML Limited,Public Sector Banks
BEPL,Bhansali Engineering Polymers Limited,Public Sector Banks
BERGEPAINT,Berger Paints (I) Limited,Automobile
BESTAGRO,Best Agrolife Limited,Information Technology
BFINVEST,BF Investment Limited,Commodities
BFUTILITIE,BF Utilities Limited,Largecap
BGRENERGY,BGR Energy Systems Limited,Infrastructure
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,FMCG
BHAGERIA,Bhageria Industries Limited,FMCG
BHAGYANGR,Bhagyanagar India Limited,Midcap
BHANDARI,Bhandari Hosiery Exports Limited,Energy
BHARATFORG,Bharat Forge Limited,Automobile
BHARATGEAR,Bharat Gears Limited,Financial Services
BHARATRAS,Bharat Rasayan Limited,Public Sector Banks
BHARATSE,Bharat Seats Limited,FMCG
BHARATWIRE,Bharat Wire Ropes Limited,Commodities
BHARTIARTL,Bharti Airtel Limited,Media & Entertainment
BHARTIHEXA,Bharti Hexacom Limited,Pharmaceuticals
BHEL,Bharat Heavy Electricals Limited,Metals
BIGBLOC,Bigbloc Construction Limited,Banks
BIKAJI,Bikaji Foods International Limited,Media & Entertainment
BIL,Bhartiya International Limited,Largecap
BINANIIND,Binani Industries Limited,Information Technology
BIOCON,Biocon Limited,Public Sector Banks
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Metals
BIRLACABLE,Birla Cable Limited,Metals
BIRLACORPN,Birla Corporation Limited,Information Technology
BIRLAMONEY,Aditya Birla Money Limited,Banks
BIRLANU,BirlaNu Limited,Realty
BLACKBUCK,Zinka Logistics Solutions Limited,Consumer Durables
BLAL,BEML Land Assets Limited,FMCG
BLBLIMITED,BLB Limited,Information Technology
BLISSGVS,Bliss GVS Pharma Limited,Realty
BLKASHYAP,B. L. Kashyap and Sons Limited,Midcap
BLS,BLS International Services Limited,Realty
BLSE,BLS E-Services Limited,Pharmaceuticals
BLUECOAST,Blue Coast Hotels Limited,Media & Entertainment
BLUEDART,Blue Dart Express Limited,Automobile
BLUEJET,Blue Jet Healthcare Limited,FMCG
BLUESTARCO,Blue Star Limited,Information Technology
BLUSPRING,Bluspring Enterprises Limited,Largecap
BODALCHEM,Bodal Chemicals Limited,Media & Entertainment
BOHRAIND,Bohra Industries Limited,Largecap
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Media & Entertainment
BORANA,Borana Weaves Limited,Information Technology
BOROLTD,Borosil Limited,Banks
BORORENEW,BOROSIL RENEWABLES LIMITED,Automobile
BOROSCI,Borosil Scientific Limited,Financial Services
BOSCHLTD,Bosch Limited,Public Sector Banks
BPCL,Bharat Petroleum Corporation Limited,Public Sector Banks
BPL,BPL Limited,Largecap
BRIGADE,Brigade Enterprises Limited,Realty
BRITANNIA,Britannia Industries Limited,Information Technology
BRNL,Bharat Road Network Limited,Realty
BROOKS,Brooks Laboratories Limited,Automobile
BSE,BSE Limited,Smallcap
BSHSL,Bombay Super Hybrid Seeds Limited,Automobile
BSL,BSL Limited,Energy
BSOFT,BIRLASOFT LIMITED,Information Technology
BTML,Bodhi Tree Multimedia Limited,Information Technology
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Smallcap
BVCL,Barak Valley Cements Limited,Healthcare
BYKE,The Byke Hospitality Ltd,Oil & Gas
CALSOFT,California Software Company Limited,Public Sector Banks
CAMLINFINE,Camlin Fine Sciences Limited,Oil & Gas
CAMPUS,Campus Activewear Limited,Healthcare
CAMS,Computer Age Management Services Limited,Private Banks
CANBK,Canara Bank,Automobile
CANFINHOME,Can Fin Homes Limited,Infrastructure
CANTABIL,Cantabil Retail India Limited,Private Banks
CAPACITE,Capacit'e Infraprojects Limited,Realty
CAPITALSFB,Capital Small Finance Bank Limited,Oil & Gas
CAPLIPOINT,Caplin Point Laboratories Limited,Private Banks
CAPTRUST,Capital Trust Limited,Realty
CARBORUNIV,Carborundum Universal Limited,Services Sector
CARERATING,CARE Ratings Limited,Largecap
CARRARO,Carraro India Limited,Smallcap
CARTRADE,Cartrade Tech Limited,Realty
CARYSIL,CARYSIL LIMITED,Healthcare
CASTROLIND,Castrol India Limited,Oil & Gas
CCCL,Consolidated Construction Consortium Limited,Realty
CCHHL,Country Club Hospitality & Holidays Limited,Private Banks
CCL,CCL Products (India) Limited,Financial Services
CDSL,Central Depository Services (India) Limited,Energy
CEATLTD,CEAT Limited,Consumer Durables
CEIGALL,Ceigall India Limited,Private Banks
CELEBRITY,Celebrity Fashions Limited,Pharmaceuticals
CELLO,Cello World Limited,Information Technology
CENTENKA,Century Enka Limited,Realty
CENTEXT,Century Extrusions Limited,Pharmaceuticals
CENTRALBK,Central Bank of India,Infrastructure
CENTRUM,Centrum Capital Limited,Media & Entertainment
CENTUM,Centum Electronics Limited,Public Sector Banks
CENTURYPLY,Century Plyboards (India) Limited,Pharmaceuticals
CERA,Cera Sanitaryware Limited,Realty
CEREBRAINT,Cerebra Integrated Technologies Limited,Oil & Gas
CESC,CESC Limited,FMCG
CEWATER,Concord Enviro Systems Limited,Public Sector Banks
CGCL,Capri Global Capital Limited,Private Banks
CGPOWER,CG Power and Industrial Solutions Limited,Services Sector
CHALET,Chalet Hotels Limited,Financial Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Commodities
CHEMBOND,Chembond Material Technologies Limited,Services Sector
CHEMCON,Chemcon Speciality Chemicals Limited,Realty
CHEMFAB,Chemfab Alkalis Limited,Commodities
CHEMPLASTS,Chemplast Sanmar Limited,Metals
CHENNPETRO,Chennai Petroleum Corporation Limited,FMCG
CHEVIOT,Cheviot Company Limited,Financial Services
CHOICEIN,Choice International Limited,Consumer Durables
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Infrastructure
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Pharmaceuticals
CIEINDIA,CIE Automotive India Limited,Banks
CIFL,Capital India Finance Limited,Financial Services
CIGNITITEC,Cigniti Technologies Limited,Smallcap
CINELINE,Cineline India Limited,Commodities
CINEVISTA,Cinevista Limited,FMCG
CIPLA,Cipla Limited,Automobile
CLEAN,Clean Science and Technology Limited,Pharmaceuticals
CLEDUCATE,CL Educate Limited,Smallcap
CLSEL,Chaman Lal Setia Exports Limited,Pharmaceuticals
CMSINFO,CMS Info Systems Limited,Banks
COALINDIA,Coal India Limited,Public Sector Banks
COASTCORP,Coastal Corporation Limited,Infrastructure
COCHINSHIP,Cochin Shipyard Limited,Public Sector Banks
COFFEEDAY,Coffee Day Enterprises Limited,Media & Entertainment
COFORGE,Coforge Limited,Information Technology
COHANCE,Cohance Lifesciences Limited,Healthcare
COLPAL,Colgate Palmolive (India) Limited,Midcap
COMPINFO,Compuage Infocom Limited,Largecap
COMPUSOFT,Compucom Software Limited,Consumer Durables
COMSYN,Commercial Syn Bags Limited,Banks
CONCOR,Container Corporation of India Limited,Energy
CONCORDBIO,Concord Biotech Limited,Realty
CONFIPET,Confidence Petroleum India Limited,Oil & Gas
CONSOFINVT,Consolidated Finvest & Holdings Limited,Services Sector
CONTROLPR,Control Print Limited,Smallcap
CORALFINAC,Coral India Finance & Housing Limited,Consumer Durables
CORDSCABLE,Cords Cable Industries Limited,Consumer Durables
COROMANDEL,Coromandel International Limited,Smallcap
COSMOFIRST,COSMO FIRST LIMITED,Consumer Durables
COUNCODOS,Country Condo's Limited,Commodities
CPCAP,CP Capital Limited,Healthcare
CRAFTSMAN,Craftsman Automation Limited,Healthcare
CREATIVE,Creative Newtech Limited,Energy
CREATIVEYE,Creative Eye Limited,Smallcap
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Realty
CREST,Crest Ventures Limited,Energy
CRISIL,CRISIL Limited,Public Sector Banks
CROMPTON,Crompton Greaves Consumer Electricals Limited,Media & Entertainment
CROWN,Crown Lifters Limited,Automobile
CSBBANK,CSB Bank Limited,Financial Services
CSLFINANCE,CSL Finance Limited,Largecap
CTE,Cambridge Technology Enterprises Limited,Financial Services
CUB,City Union Bank Limited,Infrastructure
CUBEXTUB,Cubex Tubings Limited,Media & Entertainment
CUMMINSIND,Cummins India Limited,Energy
CUPID,Cupid Limited,Metals
CURAA,Cura Technologies Limited,Media & Entertainment
CYBERMEDIA,Cyber Media (India) Limited,Services Sector
CYBERTECH,Cybertech Systems And Software Limited,Midcap
CYIENT,Cyient Limited,Energy
CYIENTDLM,Cyient DLM Limited,Automobile
DABUR,Dabur India Limited,Healthcare
DALBHARAT,Dalmia Bharat Limited,Private Banks
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Largecap
DAMCAPITAL,Dam Capital Advisors Limited,Midcap
DAMODARIND,Damodar Industries Limited,Banks
DANGEE,Dangee Dums Limited,Realty
DATAMATICS,Datamatics Global Services Limited,FMCG
DATAPATTNS,Data Patterns (India) Limited,Banks
DAVANGERE,Davangere Sugar Company Limited,Largecap
DBCORP,D.B.Corp Limited,Energy
DBEIL,Deepak Builders & Engineers India Limited,Smallcap
DBL,Dilip Buildcon Limited,Smallcap
DBOL,Dhampur Bio Organics Limited,Energy
DBREALTY,Valor Estate Limited,Financial Services
DBSTOCKBRO,DB (International) Stock Brokers Limited,Realty
DCAL,Dishman Carbogen Amcis Limited,Energy
DCBBANK,DCB Bank Limited,Consumer Durables
DCI,Dc Infotech And Communication Limited,Public Sector Banks
DCM,DCM  Limited,Automobile
DCMFINSERV,DCM Financial Services Limited,Media & Entertainment
DCMNVL,DCM Nouvelle Limited,Oil & Gas
DCMSHRIRAM,DCM Shriram Limited,Private Banks
DCMSRIND,DCM Shriram Industries Limited,Healthcare
DCW,DCW Limited,Media & Entertainment
DCXINDIA,DCX Systems Limited,Information Technology
DDEVPLSTIK,Ddev Plastiks Industries Limited,FMCG
DECCANCE,Deccan Cements Limited,FMCG
DEEDEV,DEE Development Engineers Limited,Metals
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Realty
DEEPAKNTR,Deepak Nitrite Limited,Services Sector
DEEPINDS,Deep Industries Limited,Automobile
DELHIVERY,Delhivery Limited,Private Banks
DELPHIFX,DELPHI WORLD MONEY LIMITED,Banks
DELTACORP,Delta Corp Limited,Financial Services
DELTAMAGNT,Delta Manufacturing Limited,Media & Entertainment
DEN,Den Networks Limited,Pharmaceuticals
DENORA,De Nora India Limited,Financial Services
DENTA,Denta Water and Infra Solutions Limited,Pharmaceuticals
DEVIT,Dev Information Technology Limited,Information Technology
DEVYANI,Devyani International Limited,FMCG
DGCONTENT,Digicontent Limited,Energy
DHAMPURSUG,Dhampur Sugar Mills Limited,Smallcap
DHANBANK,Dhanlaxmi Bank Limited,Largecap
DHANI,Dhani Services Limited,Largecap
DHANUKA,Dhanuka Agritech Limited,Information Technology
DHARAN,DHARAN INFRA-EPC LIMITED,Public Sector Banks
DHARMAJ,Dharmaj Crop Guard Limited,Metals
DHRUV,Dhruv Consultancy Services Limited,Energy
DHUNINV,Dhunseri Investments Limited,Financial Services
DIACABS,Diamond Power Infrastructure Limited,Pharmaceuticals
DIAMINESQ,Diamines & Chemicals Limited,Pharmaceuticals
DIAMONDYD,Prataap Snacks Limited,Banks
DICIND,DIC India Limited,Pharmaceuticals
DIFFNKG,Diffusion Engineers Limited,Energy
DIGIDRIVE,Digidrive Distributors Limited,Realty
DIGISPICE,DiGiSPICE Technologies Limited,Healthcare
DIGITIDE,Digitide Solutions Limited,Pharmaceuticals
DIGJAMLMTD,Digjam Limited,Media & Entertainment
DIL,Debock Industries Limited,Healthcare
DISHTV,Dish TV India Limited,Smallcap
DIVGIITTS,Divgi Torqtransfer Systems Limited,Consumer Durables
DIVISLAB,Divi's Laboratories Limited,Consumer Durables
DIXON,Dixon Technologies (India) Limited,Midcap
DJML,DJ Mediaprint & Logistics Limited,Consumer Durables
DLF,DLF Limited,Midcap
DLINKINDIA,D-Link (India) Limited,Infrastructure
DMART,Avenue Supermarts Limited,FMCG
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Smallcap
DNAMEDIA,Diligent Media Corporation Limited,Financial Services
DODLA,Dodla Dairy Limited,Private Banks
DOLATALGO,Dolat Algotech Limited,Financial Services
DOLLAR,Dollar Industries Limited,Consumer Durables
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Private Banks
DOMS,DOMS Industries Limited,Banks
DONEAR,Donear Industries Limited,Metals
DPABHUSHAN,D. P. Abhushan Limited,Healthcare
DPSCLTD,DPSC Limited,Pharmaceuticals
DPWIRES,D P Wires Limited,Consumer Durables
DRCSYSTEMS,DRC Systems India Limited,Information Technology
DREAMFOLKS,Dreamfolks Services Limited,Consumer Durables
DREDGECORP,Dredging Corporation of India Limited,Automobile
DRREDDY,Dr. Reddy's Laboratories Limited,Media & Entertainment
DSSL,Dynacons Systems & Solutions Limited,Commodities
DTIL,Dhunseri Tea & Industries Limited,Public Sector Banks
DUCON,Ducon Infratechnologies Limited,Healthcare
DVL,Dhunseri Ventures Limited,Oil & Gas
DWARKESH,Dwarikesh Sugar Industries Limited,Midcap
DYCL,Dynamic Cables Limited,Automobile
DYNAMATECH,Dynamatic Technologies Limited,Largecap
DYNPRO,Dynemic Products Limited,Metals
EASEMYTRIP,Easy Trip Planners Limited,Healthcare
ECLERX,eClerx Services Limited,Banks
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Banks
EDELWEISS,Edelweiss Financial Services Limited,Commodities
EICHERMOT,Eicher Motors Limited,Energy
EIDPARRY,EID Parry India Limited,Energy
EIEL,Enviro Infra Engineers Limited,Largecap
EIFFL,Euro India Fresh Foods Limited,Services Sector
EIHAHOTELS,EIH Associated Hotels Limited,Private Banks
EIHOTEL,EIH Limited,Consumer Durables
EIMCOELECO,Eimco Elecon (India) Limited,Realty
EKC,Everest Kanto Cylinder Limited,Infrastructure
ELDEHSG,Eldeco Housing And Industries Limited,Midcap
ELECON,Elecon Engineering Company Limited,Automobile
ELECTCAST,Electrosteel Castings Limited,Services Sector
ELECTHERM,Electrotherm (India) Limited,Services Sector
ELGIEQUIP,Elgi Equipments Limited,Smallcap
ELGIRUBCO,Elgi Rubber Company Limited,Smallcap
ELIN,Elin Electronics Limited,Largecap
ELLEN,Ellenbarrie Industrial Gases Limited,Oil & Gas
EMAMILTD,Emami Limited,Banks
EMAMIPAP,Emami Paper Mills Limited,Energy
EMAMIREAL,Emami Realty Limited,Media & Entertainment
EMBDL,Embassy Developments Limited,Metals
EMCURE,Emcure Pharmaceuticals Limited,Automobile
